"","Adipocytes","Astrocytes","B_cells","Cardiomyocytes","Dendritic_cells","Endothelial_cells","Epithelial_cells","Erythrocytes","Fibroblasts","Granulocytes","Hepatocytes","Macrophages","Microglia","Monocytes","Neurons","NK_cells","Oligodendrocytes","T_cells"
"415","Amy1","Lars2","Kdm5d","Mov10l1","Crkl","Gnb4","Ttc30b","Hs6st1","Msn","Cd82","Dhcr24","Cd63","Eya4","Adam15","Ica1","Mllt3","Slc1a2","Rasal1"
"416","Zfp503","Grik5","Tspan13","Macrod1","Itgad","Hey1","Limch1","Apol10a","Ttc28","Tnfsf13b","Cap1","Prex1","Tbc1d9","Cdkn1a","Ttc3","Ncf4","Eps8l3","2010016i18rik"
"417","Trf","Pbxip1","H2-dmb1","Ppifos","Pmaip1","Ifi35","Nek11","Arf5","Fam129b","Rab32","Elovl2","Nacc2","Ankrd52","Naip5","Caly","Plcb2","Aacs","Klf2"
"418","Prr5","Bzrap1","Pde7a","Zbtb16","Fscn1","Stmn2","Nck2","Trfr2","Pdlim2","Fam65b","Mpp6","Dennd1c","Ankrd57","Mapkapk2","Syt13","Psd4","Ick","Cacna2d4"
"419","Rnase4","Emx2os","Cd36","Oxct1","Zfp385c","Usp18","Tspan3","Lcn2","Lpp","Igf1r","Parp9","Snx20","Dennd1c","G6pdx","Lsamp","Metrnl","Fth1","Prkca"
"420","Letmd1","Pou2f1","Clic1","Got1","Zeb2","Hmgb1","Rgs11","Odc1","Rusc2","C030046i01rik","Nags","Gpsm3","Hk3","Treml4","Dscam","Slfn10-ps","Kctd13","Tspan13"
"421","Mt1","Phka1","Cdh17","Tspan7","Ctsc","Nckap1","Gm5918","Fxn","Tnfrsf1a","Hip1r","Gch1","Raph1","Rusc2","Rab3d","Sprn","Zrsr2","Sparc","Elf4"
"422","Pla1a","A330023f24rik","Myl4","Ndufa4","Gimap3","Slc1a1","Lrrc9","Rps29","Bcat1","Mpeg1","Habp2","Colec12","Parp8","6430548m08rik","Gnal","Ppp3cc","Scg3","Ai504432"
"423","1700037h04rik","Lrrc9","H2-q8","Rcsd1","Il13ra1","Map3k12","Stab1","Vopp1","Marcks","Qsox1","Plxnb2","Dram1","Rilpl1","Adap2","Zcchc18","Rif1","Idi1","Pdlim1"
"424","Ctnnd1","Cdh19","Cotl1","Cd59a","Map4k1","Sat1","Slc25a4","Rps26","Myc","Stxbp2","Gpc4","Gm10136","Ebf3","Tbc1d8","Gm1821","Dock11","Zfp488","Hdac7"
"425","Cd81","Erc1","Pigr","Aplnr","Trim30a","Cd74","Sorbs3","Gm166","2900073g15rik","Lcp2","Nek6","Ccl24","Ppfia4","Zcchc24","Fstl5","Ccdc88c","Chst3","Trim12a"
"426","S100a4","Arhgef12","Kcnab2","Sh3rf2","4930506m07rik","Fnbp1l","Pon3","Frmd4a","Dse","Dach1","Sh3d19","C4a","Trib1","Sorl1","Nova2","Cyba","Fabp5","Lfng"
"427","Ptprg","Zfhx2","Tmem123","Ptp4a3","Chst11","Bcl6b","Tctex1d2","Agtr1a","Apbb1ip","Hlx","Bhlhe40","Rpl38","Igsf6","Hmox1","Mcf2l","Fam133b","Rnf112","Ly6c1"
"428","Adcy5","Acot11","Elf4","Pde1c","Evl","Igfbp3","Rnase4","Psmf1","Ctnnd1","Palm","Slc20a2","Myo5a","Ptpre","Ifi47","Ubb","Zfhx3","Tmcc3","Mbp"
"429","Sash1","Lonrf3","Lta","Aes","H2-dma","Itga6","Tubb2c","Oip5","Pam","Ly6g5b","Cldn2","Itfg3","Speg","Rab32","Chd5","4930523c07rik","Gpr56","Bzw2"
"430","Tmem45a","Sort1","Cd200","Hspb2","Capg","Procr","1700024g13rik","H2afv","Afap1","1500031l02rik","Maged1","Pdlim4","Clstn1","Sec61b","Chst1","Dock8","Cdkn1c","Nlrc3"
"431","Pfkfb1","Prune2","Sipa1","Gbas","Slc38a1","Slc50a1","Ctsc","Ccdc23","Dcbld2","Map3k9","2900026a02rik","Wdfy3","Arhgef6","Capn2","Prkar1b","Rnf166","Fkbp1a","Rpl8"
"432","Uqcrfs1","Utrn","Cd81","Tjp1","H2-d1","Ccrl2","Als2cr4","Zdhhc14","Efna5","Tap1","St3gal1","Dip2c","Tcirg1","Oasl2","Lrp1b","Fcgr3","Sorbs3","Rcsd1"
"433","Ltbp2","Csgalnact1","Trim12a","Irx4","2310014h01rik","Ctnnd1","Fam107b","Kif15","Slc6a8","Zfp831","Gsta4","Gas7","Atp1a3","Tmem106a","Chrm1","Gm11346","Fah","Nbeal2"
"434","Idh1","Alms1","Chst10","Ablim3","Samd9l","Slc22a8","Dydc2","Fbxo7","Crip2","Wdfy4","Ipo7","Ikbke","Chd7","Clic1","Gpr12","Nrgn","Mpp2","Gm15421"
"435","Paqr9","Cldn10","Spns2","A530016l24rik","Arl4c","2810025m15rik","Kcnq1ot1","Taldo1","Mtap6","Hmox1","Ppap2c","Arhgef10l","Icam1","Sp110","Tln2","Snrnp48","Clic4","Arrb2"
"436","Dock10","Ysk4","Csf2rb","Bzw2","Tmsb4x","Gpx1","Dnahc5","Pcyt1b","Npdc1","Pip5k1b","Cstb","Gatm","Sema4g","Anxa5","Cpne7","Icos","Slc48a1","Eef1b2"
"437","Errfi1","Btbd17","Rab30","5330439b14rik","Ai467606","Gm1821","Hspa4l","Ppp2r5b","Scarf2","Tirap","Acsl5","Slc38a1","Casp8","Elf4","Sema4f","Phxr4","Zdhhc9","Ppp1r16b"
"438","Tagln2","Myoc","Birc3","Igf2r","Hnrnpul1","Sh3bgrl3","Tulp3","Dedd2","Cdh2","Abtb1","Ces1b","Rhobtb1","Neurl3","Ltf","H3f3a","Zbtb16","Atp10b","Lime1"
"439","Ltc4s","Shisa9","Slain1","Maged1","Mgl2","Cd59a","Prps2","C1qc","Plxna1","Gm17455","Acta1","Fcgr4","Zc3h12c","Plxnd1","Tjp1","Runx2","Fam19a5","Evi2b"
"440","Aspa","Agt","Prps2","Smtn","Sh2d1b1","Dusp6","Dmxl2","Arhgap11a","B2m","Ucp2","Nup210","Ehbp1l1","Arhgap27","Tns4","2900092d14rik","St8sia4","Tnr","Rps19"
"441","Atp5b","Macf1","Hspa8","Uqcrb","Padi4","2310046k01rik","Efemp2","Faim3","Ptprs","Cpd","Serpina12","Abca1","Amz1","Ehbp1l1","Plxna4","Tmem37","Elmo1","Wipf1"
"442","Atp9a","Phxr4","Cxxc5","Rbpms","Lrmp","Nav1","Rps6ka2","Optn","Wbp5","Rgs2","Qsox1","Cln8","Ucp2","1700025g04rik","Slc8a2","Tnfsf12","Hcn2","Lypd6b"
"443","Zfp423","Ahnak","Ncf2","Lrig1","C230091d08rik","4930578c19rik","Gprasp2","Siva1","C1qtnf6","Samsn1","Ppfibp1","March1","Neurl1a","Rpl23a","Shank1","Ttc39b","Ddit4","Pdk1"
"444","Mmd","Sall1","Ipo7","Txnip","Mmp13","Capn12","Idh1","Ifitm3","Fzd1","Dedd2","Gm5506","Ctsd","Plxnb2","Ccdc88a","Chrm3","Cxxc5","Rap2a","Raly"
"445","Aldh2","Ccdc88c","Mef2d","Decr1","Ccl17","Gbp2","Sgk1","Cln8","Nav1","Fermt3","Fam107b","Hmox1","Nrip1","Cst3","Adrbk2","Rinl","Gm1821","Tnfrsf4"
"446","Tnxb","Gm9766","Mical1","Fn1","Cd9","Nr4a1","Csf1r","Rplp0","Itgb1","Psmb8","Cldn12","Nbeal2","Arhgap11a","Mir682","Ptchd1","Sh3bgrl3","Ninj2","Gm4987"
"447","Ddo","Klhdc7a","Tec","Usmg5","Arrb2","Trim30a","Hspa12a","Svip","Litaf","Stk17b","1600029d21rik","Junb","Itpr2","Oaz1","Alcam","4930486l24rik","Crtac1","Ai662270"
"448","Abca1","Lrrc16b","B230206f22rik","2310002l09rik","Atf3","Car2","Frmd4b","Rpl41","Adam12","Elovl7","Chchd10","Wdfy4","Tbrg3","Camk1d","Wbp5","Evl","Txndc16","Trim30a"
"449","Cdkn2c","Omg","Trim30a","Cox7b","Ipo7","A130022j15rik","Lgals3","Atp6v0a1","Cxcl1","Cdk2ap2","Fads1","Ptprj","Camk1d","H2-d1","Dgkg","Crtam","Sbf1","Maml2"
"450","Mgp","Epha5","Sdc1","Irs1","Sh3pxd2b","St6galnac2","Cyr61","Tcf19","Xdh","Itih5","Abhd2","Agap1","Gngt2","Rplp0","Me3","Elf4","Tsc22d4","Glipr2"
"451","Tmem119","Mmp14","2310014h01rik","Map3k12","Arpc1b","Ceacam1","Dnahc7b","2310036o22rik","Armcx2","Txn1","Cdc42ep1","Tlr7","Gatm","Ccdc88b","Napb","Dusp1","6330407j23rik","Prex1"
"452","Aacs","Miat","Faah","Pip5k1b","C1qb","Magi1","Ubl3","Iqgap3","Phlda1","2610507i01rik","Txnrd1","Myadm","Zfp90","Rps12","Nell1","Tspan13","Wnt3","Leprotl1"
"453","Echdc1","Timp4","Hyou1","Pxdn","Sdc3","Dram2","Mdh1","Itsn1","Bdnf","Ctse","Rnd1","St3gal5","Psd4","Mrpl33","Brsk2","Ab124611","Ntrk2","Rpl19"
"454","Srpx","Epas1","Ai662270","Cox6c","Ikzf3","Stc1","Ablim1","Cep76","Vcam1","Gabbr1","Saa4","Pard3b","Rassf4","Mrpl52","Kalrn","Mef2c","Bdh1","Snx20"
"455","Crat","Rftn2","Kctd12","Fam134b","Rgs1","Ptprk","Gm1821","Cdca2","Mn1","Rhov","Crot","Rab8b","Slc38a1","Rps19-ps3","H3f3b","Trim30d","Cyfip2","Lysmd2"
"456","Ptges","Lpp","Lmo2","Angptl2","Id2","Slc35f2","Scd2","Relt","Hk2","Adam19","Lonp1","Kif23","Trim30a","Met","Nlgn3","Slc38a1","Prpf19","Nfatc2"
"457","Abhd15","Ophn1","Lyn","Phospho1","Abhd2","Actb","Matn2","Xpo7","Enpp1","Tuba8","Palld","Cadm1","Arhgap39","Sulf2","Psd3","Galnt7","Sema3d","Mllt3"
"458","Gbe1","Atxn2l","Tbxa2r","Csdc2","Dock5","Cyb5","Gstm1","Gclc","Il6","5830428m24rik","Tap1","Prkcd","Pcdhgb5","Plek","Fam123c","Fcgr2b","Tnfaip6","Gpr65"
"459","Cd1d1","Cdh20","Tmsb4x","Gimap4","Acp5","H3f3b","Pdk4","Pcx","Zyx","Abcd2","Cast","6430548m08rik","Cst3","Arhgap4","Iqsec3","Rap1gap2","Ubb","Fam176b"
"460","Bnip3","Arpp21","Rassf5","Rnf207","Icam1","Gm6788","Ubb","Capn1","Klf4","Cd97","Gm8909","Dock10","Trf","Stxbp6","Scamp5","Slc25a24","Lgmn","Iqgap2"
"461","Mnda","Tcf7l2","Camk2d","Nme2","Hvcn1","Rpl21","Mgl2","Esco2","Synpo","Rap1gap2","Masp2","P2rx7","Il4ra","Rps10","Calm2","Zfhx2","Sema6d","Hivep2"
"462","Gpr116","Dync2h1","Traf5","Atp5a1","Fosl2","Trib2","Riiad1","Ube2t","Cdc42bpa","Ano10","Gbe1","Actb","Ttc28","Dusp3","Glrb","Upf3b","Gnb2","Stx1a"
"463","Gm5148","Arrb1","Tnfaip8","Fgl2","Emp3","Gstm7","4833442j19rik","Cenpm","Mfge8","Slc4a1","Shroom1","Gpr65","Pip4k2a","Oas3","Runx1t1","Samd9l","Tuba1c","Gfi1"
"464","Psat1","Prnp","Pstpip1","Mapkapk2","Junb","Hmgcs2","Atp6v1g1","Diap3","Sdc3","Zfp36","Elovl7","Ifitm6","Tubgcp5","Arhgap27","Cd200","Tagln2","Wdfy3","Orai2"
"465","Fgf10","Mlxipl","Cobll1","Plxnd1","Gpc1","Lepr","Nphp1","Prnp","Adcy7","Ehd1","Igtp","Rnasel","Ptprs","Lgals3bp","Dapk1","Emp3","Cxx1b","2210010c17rik"
"466","Net1","Arhgap5","Sik1","Ehd2","Arhgap25","Npdc1","Anxa5","Ank","Ctsk","Hist1h2bc","Bmp1","Slc28a2","Itgb3","Gsto1","Tmeff2","Sfrs18","Fam57a","Hsd11b1"
"467","Acat3","Arhgef19","Mtss1","Shank3","Gm14492","Wbp5","Dpcd","Hras1","Smtn","Prkcd","Loxl2","B230120h23rik","Maml3","Krtcap2","Dync1i1","Esf1","Nckap1","Sytl2"
"468","Pdk2","Zbtb20","Kcnk5","Slc27a1","Sh3bp1","Ppp1r15a","Slc25a5","Pck2","Zfhx3","Adam15","Sh3bgrl2","Tubb6","Baz1a","Rps6ka1","Mme","Klf6","Slc9a3r2","Rnf125"
"469","Dtx4","Zeb1","Spns3","Slc9a3r2","Arl5c","Ets2","Smpdl3a","Ubb","Ripk3","P2ry13","Aadac","Ppp1r9a","Nf1","H2-t23","Kcnk9","Emid1","Dner","Gm5424"
"470","Gpc6","Bcl6","Il4ra","Phyh","Cxcl3","Hip1","Map3k12","Casc5","Tpm4","Klhl6","Parp14","A630033h20rik","Nfia","Arhgef37","Syt5","Sykb","Fam171b","Gm8369"
"471","Fzd1","Slc25a18","Rab7","Idh3a","Nbeal2","Mylk","Fam164c","F830002l21rik","Pvrl1","Mboat7","Ces2e","Chchd2","Adcy7","Rab44","Neurod1","Arap3","Tnni1","Krtcap2"
"472","Mmp19","Inf2","Hpse","Cpt2","Ptgs2","Rhoc","Stk30","Stx2","Zeb2","Rab37","Ahcy","Dapp1","Trim30d","Abca7","Asns","X99384","Atf3","6430527g18rik"
"473","Tbc1d20","Lrig1","Ptpn22","Ndufb8","Sh3bgrl3","Aqp1","Tuba1a","Rps6ka1","Eef1a1","Gpr77","Faah","Ctsc","Ehbp1l1","Cd209a","Eml5","Fam111a","Spsb1","Ass1"
"474","Timp1","Il18","Aim2","Rab11fip5","Gbp4","Mllt4","Gtsf1l","Rps19","Prnp","Plcl2","Gas6","H2-k1","Nfatc2","Tmem86a","Vldlr","6330407a03rik","Larp6","Impdh1"
"475","Agpat3","Specc1","Gm14085","Cox6b1","Vasp","Fkbp7","Malat1","Tuba1b","Zfhx4","App","Pawr","Plxnd1","Sh3bp2","Trim30a","Unc79","Sarnp","Actg1","Znrf3"
"476","Myo1c","Entpd2","Ceacam1","Lama4","Adora2a","Ptges3","Ptgds","Xk","Col15a1","Slc22a20","Aw112010","Gnaq","Bmp2k","Pik3r5","Dpysl2","Tjp2","Exoc6b","Dntt"
"477","Akap1","Neat1","Trib2","Atp5f1","Scd2","Tal1","Clybl","Bex4","Snx22","Hist1h1c","Man2a1","Blnk","Ddx26b","Csf2rb2","Hs6st2","S100a4","Pvrl1","Ephb6"
"478","Iigp1","Slc38a1","4930420k17rik","Myo1c","Chi3l4","Cdkn1c","4933434e20rik","Mfhas1","Sphk1","Gca","Slc22a1","Ckap4","Rab6b","Atf3","Mctp1","2510002d24rik","Hapln2","Inadl"
"479","Col8a1","Rims2","Atp6v0a1","Pdzd2","Cd38","Hspa1b","Abhd14b","D6mm5e","Ier3","Ccpg1","Unc5b","Clec5a","Tec","Tifa","Neto2","Plekha5","Gpc1","Sun2"
"480","Gstz1","Ttll8","Akap12","Pim3","Klra9","Ica1","Dock1","Ndufb9","Cspg4","Gm166","Kif1c","Matk","Sparcl1","Bcl3","Dkk3","Klhl30","Nav1","Vim"
"481","Slc25a4","Fmnl2","Hes1","Ndufa1","Mctp2","Id2","Timp2","Mafg","Hbegf","Myadm","Ly6e","Gm12166","Lpcat1","Hpcal1","Tmsb4x","Zbtb20","Nde1","Atp1b1"
"482","Mfge8","Notch1","Il17ra","Ltbp1","H2-q8","Lamb2","Uqcrb","Rnaseh2c","Slc41a2","Unc119","Myo10","Rassf5","Degs2","Il16","Slc22a17","Ubxn4","Ddx3y","Arpc1b"
"483","Abhd5","Dmxl2","Prkce","Ucp3","Def6","Btbd3","Zfp423","Tsc22d4","Leprel4","Alas2","Lrp1","Crim1","9930111j21rik1","Tnfrsf21","Zfp385b","Smarca2","Pppde2","Eif3e"
"484","Fosl2","Boc","Samhd1","Rtn2","Naip5","Cyba","Gpc4","Ly6e","Plat","Sh3bgrl3","Ugt1a1","Ubash3b","Bin1","Mbp","Slc6a15","Srek1","Sgk1","Rpl23"
"485","Glb1l2","Hapln1","Grk6","Nrp1","Cd247","Elk3","Ywhaq","Ckap2","Ptprf","Samhd1","B230206h07rik","Asph","Peg10","Plaur","Arhgap44","Mbp","Clip2","Tmem173"
"486","Myl9","Mras","Sh2d2a","Ptgds","Serpina3g","Slc2a1","Tgfbr3","Ly6d","Twist1","Rufy4","Pard3","Dagla","Clasp2","Tpd52","Pcdhac2","Ptk2b","Pea15a","Ly6e"
"487","Car13","Bai2","Sigirr","Smyd2","C030046e11rik","Cd38","Tomm7","1810058i24rik","Flnb","Relt","Sla2","Maged1","Loc100503496","0910001l09rik","Stmn4","Adcy7","H3f3a","Ccr9"
"488","Fcgrt","Arhgap23","Zfp36l1","Rbfox1","Ifi204","S100a11","9330159f19rik","Fntb","Palld","Ypel3","Ces1g","Cd68","Bc016423","Cfl1","D10bwg1379e","B3gnt5","Adam22","Chchd10"
"489","Afap1","Dock4","Samd9l","Cd81","X99384","Arhgdib","Cfh","Agfg2","Tgm2","Crtac1","Vnn3","Rps26","Pfkfb3","Gm16517","Lrrfip1","Rab27a","Gng8","Mapk11"
"490","Tnfrsf1a","Negr1","Fgr","D10jhu81e","Hyou1","Junb","Chchd6","Tusc1","Myo5a","Tkt","Cited2","Cd81","Sp110","Tmem176a","Dtl","Flt3l","Sepp1","Dgkz"
"491","Bmper","2810055g20rik","Ng23","Map1lc3a","Mgst1","Lamb1","Dhrs3","Cdca5","Mthfd2","Oasl2","Cpe","Lgals3bp","Spata13","Cdk2ap2","Adora1","Rad54l2","Slc27a4","Pim2"
"492","Pla2g16","Atp1a4","Ehd2","Abra","Srp54c","Tanc1","Tceal8","Nmnat3","Spry2","Ncam1","Ces1e","Entpd1","Dpysl2","Cmtm3","App","Dnajc8","Vat1","Dnahc8"
"493","Rras","Alcam","Fam108b","Smarcd3","Trf","Cthrc1","Cd82","Anp32b","Lrrk1","Gsdmd","Myc","Dpysl2","Gmip","Hint1","Cacng2","Inpp5d","C630004h02rik","Ab124611"
"494","Eppk1","Arhgef4","Hdac7","Rxrg","Slc39a4","Tgfb1i1","Mapkapk3","Mcm3","Ifi205","Iqgap1","Sec14l2","Gkap1","Camk1","Evl","Lphn2","C630004h02rik","Tns3","Mical1"
"495","Ace","Bcas1","Zfp385a","Slc35e1","Slc16a3","Mtap1b","Actg1","Mettl7a1","Ece1","Anxa11","Gcgr","Neat1","Snn","Car2","Cap2","Sept7","Snx33","Tmem149"
"496","Arhgef12","Magi1","Pou6f1","Camk2a","Klra14","Cdkn1a","Ndufa1","Tpt1","Maml2","Nat8l","C1rb","Myo10","Ctsz","Cd40","Baiap2","Sh2d1b1","Svip","Gzma"
"497","Pdzd2","Mdn1","Baz1a","Flt1","Sirpb1b","Dennd5b","Olfr1507","Rpl28","Fam114a1","Steap4","Cebpa","Crlf2","Prox1","Rasgrp4","Lpl","Airn","Tmem159","Rps14"
"498","Tln2","Ppp2r2b","Hmgn1","Usp2","Elane","Cmtm8","Ttyh2","Mybl2","Ext1","Atp6v0a1","Gckr","Plscr4","Snx29","Ai467606","Myo5a","Pion","Mtus1","Adcy6"
"499","Fmo2","Snx33","H2-t23","Acot13","Ly6e","Tbx3","Gm11428","Endod1","C230081a13rik","Dhrs9","Akr1c13","Psd3","Ctsc","Slfn8","Pbx1","Osbpl5","Rnf13","Ampd1"
"500","Tkt","Arhgef40","6430527g18rik","Znrf1","Rps6ka3","Mkl2","2010015l04rik","E2f1","Plaur","Svil","Lrrfip1","Smpdl3a","Fam46c","Rps9","Serpini1","Solh","Abhd4","Gtf2ird1"
"501","Tjp1","Clip3","Tnfaip8l2","Akap1","Wdfy3","Afap1l2","Park7","Ftl1","Tgfb2","Ets1","Gpld1","Kif11","Fam38a","Gm2a","Fstl4","Calm2","Hn1l","Rps21"
"502","Efemp2","Kif1b","Dhx37","Atp5j2","Fam107b","Slfn2","Prdx1","Galnt10","Arhgap23","Slc22a15","Gstm6","Sh3bgrl3","Adhfe1","Prdx5","Lhfpl4","Slfn8","Cdh20","Lgals1"
"503","Sepp1","Cntn1","Gm13253","Hadh","Gbp2","Gngt2","Cab39l","Ufsp1","Tmsb4x","Rps6ka1","Lgals3bp","Slfn1","Tmem63a","Slc2a6","Omg","Dock5","Rap1gds1","Ppic"
"504","Ttyh2","Kbtbd11","Osbpl5","Wipf3","Fcgr4","Hs3st1","H3f3b","Dbf4","Lama2","Plp2","Amy1","2310036o22rik","Kcnk6","Vcan","Atp8a1","Ier2","Ptk2","Rgs1"
"505","Ifi27l1","Nelf","Plek","Aco2","Mt2","Unc13b","Phxr4","Acss1","Boc","Acpp","Lpp","6430527g18rik","Dapp1","Tlr2","Stmn2","Hsp90aa1","Inf2","Ctla2a"
"506","Fam38a","Akt3","Nedd9","Il10rb","Gpr68","Ppfibp1","Atp5f1","Baz1a","Ccnd1","Gdpd3","Hspa9","Taldo1","Cdc42bpa","Ccdc28b","Fam155a","Stk10","Snap91","Ppm1h"
"507","Oxct1","Brsk2","Tagln2","Cish","Slc7a8","C330021f23rik","Oxct1","Sertad2","Il1r1","Reck","Smox","Mdfic","Camk2n1","Gm885","Tmem63c","Taf3","Tmsb4x","Rpl9"
"508","Plod1","Clcn2","Tmsb10","Mcf2l","S100a10","Prcp","Txnip","Wdhd1","Rras","Treml4","Inf2","Actn1","Vps13d","Cox6a1","Cacng3","Tcerg1","Cfl1","Spint2"
"509","Cyp4b1","Rasgrp1","Hnrnpul1","Myl7","Tap1","Lphn2","Mrfap1","Sh3yl1","Atp10a","Hsd11b1","Pgk1","Pkib","Capns2","Prex1","Plxna1","Txnip","Snx22","Ipcef1"
"510","Rhoj","Klf7","Capn1","Ai507597","Gpr171","Hes1","Cdhr3","Tuba1c","Ndrg4","Nlrp3","C8g","Marcks","Rptor","Grn","Lmtk3","Htatsf1","Ncdn","Unc5cl"
"511","Timp2","Folh1","Iqgap1","Mef2d","Lfng","Litaf","Hpgds","Nde1","Ppfibp1","Lyl1","Usp18","Txn1","Ckb","Sqrdl","Pla2g4e","Arhgef6","Tpd52","Rpl37"
"512","S100a1","Id3","Sh3bp5","Timp2","Cacnb3","Yap1","A2m","Rrm1","C1qtnf3","Dock5","Dpp4","Fam111a","Large","Trf","Rgs7","Rundc3b","Bai2","Gbp10"
"513","Arpc1b","Pbx1","Vim","Klhl38","Slfn5","Pllp","H3f3a","Fam78a","Igf2r","Emp3","2900073g15rik","Kif3a","Nek6","Unc119","Kcns2","Raph1","Ldlr","Grcc10"
"514","Vat1","Nphs1","Adck3","Eci1","Apol7c","Rps14","Zfp187","Rpl8","Tpm1","C130050o18rik","Irgm2","Prpf19","Tet2","Rpl37","Kcnh1","Kif13b","Micall1","Smad7"
"515","Slc25a10","Cacna1d","Bc031353","Lrrfip1","Cd200r4","Chst2","Rgs22","Slc7a5","Chst12","Fam160a2","Slc25a13","Soat1","Rps6ka1","Tm6sf1","Ddx3y","Rhof","Gstp1","Lsm4"
"516","4931406c07rik","Ephb1","Malt1","Ech1","Zfp146","Tgfbr2","Nqo1","Pkig","Peg10","Prss34","Tes","Ier5l","Fam48a","Gm12504","Npdc1","Snx18","Srebf2","Sh3kbp1"
"517","Malat1","Pdpn","Tnk2","Atp5l","F630028o10rik","Tlr3","Tsga10","Cd22","Klhdc8a","Asb7","Dusp10","Rps9","Bcl9","Abca9","Actg1","Dgka","Gpm6a","Socs3"
"518","Lgals9","Amotl1","Lgals9","Dnajb5","Mefv","D0h4s114","Tuba1c","Ccrl2","Calu","Pabpc1l","Smoc1","Arhgap5","Plau","Rps7","Adamts3","Arrb2","Bmp1","Cd200"
"519","Prnp","Csrp1","Ptk2b","Cox5b","Psmb8","H2-k1","Ctnnal1","Cish","Ftl1","Pbxip1","Myo5b","Efhd2","Fert2","Fam111a","Kif21b","Rp9","Dhcr7","Ntrk3"
"520","Cdc42bpa","Nebl","Rpl29","Mir208b","Flna","Lcp1","Tsnaxip1","Myo1d","Pbx1","Mbp","Sh3pxd2b","Wtip","Itpr3","5430435g22rik","A830018l16rik","Tspo","Rplp0","Sdr39u1"
"521","Sun2","Oaf","Csprs","Twf2","Prkcq","Slc26a10","Pebp1","Foxm1","Cacna2d1","Crlf2","Dap","Card9","Trim2","Dpep2","Camk1d","Zdhhc15","Etv1","Tspo"
"522","Ywhag","Ptprs","2900097c17rik","Epn1","Rinl","Tspan18","Rnf32","Pbk","Cyb5r3","Celsr3","H2-t10","Bmp2","Parp14","Slc16a3","Synpr","Tcf4","Atp6v1g1","Gm12034"
"523","Acox1","Pag1","Tyrobp","Ndufa5","Gm2a","Plcb1","Uqcr11","Pir","Wdfy3","Lrrk2","Myadm","Cp","Spsb1","Selenbp2","Zfp804a","Ai504432","Ptma","Ldb1"
"524","Ero1l","Wdr52","Patz1","Gys1","Lgals3bp","Arpc3","Tuba1b","Hmgb3","Errfi1","Cmah","Cdkn1a","Rbfox2","Tgfbr2","Tbc1d2","Dpp10","Klf4","Fam83d","Ldhb"
"525","Dmrt2","Med12l","Mcart6","Robo4","Psap","Npr1","Cttn","Cdc20","Inhbb","Ppp1r3b","Ftl1","Pik3cd","1190007f08rik","Tspan17","Nmnat2","Btg1","Inppl1","Sytl1"
"526","Neo1","Plcb4","Dgkd","Sla2","Lair1","Btg1","Atp5l","Tceal8","Nr4a1","Acta2","Loc100048884","Dmpk","Gm15441","Twf2","Sybu","D830031n03rik","Sbk1","Ptgfrn"
"527","Plin5","Lrrc4b","Enpp1","Pdlim1","Unc13d","Cyyr1","Fnbp1l","Mrm1","Dock1","Ehbp1l1","Exph5","Sema4d","Hdgfrp3","Prdx1","B4galnt1","Ktn1","Glod4","Tecpr1"
"528","Sh3pxd2b","Trim12a","Cfp","Mical2","Sdc1","Ubb","Prtg","Hist1h2bc","Fibin","Lrmp","Tgfa","Akap1","Pion","Arrb2","Ablim1","Mphosph8","Plekhg1","Itgal"
"529","Etfb","Dagla","Gbp4","C1qtnf9","4632428n05rik","Lbr","Trps1","Trak2","Itgb3","Fbxl5","Agrn","Tcf4","Garnl3","Fkbp1a","Dbpht2","Nbeal2","Rasgef1b","Tgfbr2"
"530","Fndc3b","Slc9a3r1","Mctp2","Sdhc","Lax1","2210013o21rik","Fcer1g","Trim12c","Lrrfip1","Spn","Myh9","Incenp","Lpxn","Fut7","1700025g04rik","Rpl39","Plin3","Timp2"
"531","Stom","2310021p13rik","Arhgap27","Adra1b","Apobec3","Spry1","S100a1","Mcm7","Hspb8","Sycp2","Rbpms2","Rnf150","Nrp2","Stxbp2","Htr2c","Maml2","Rapgef5","Gm11968"
"532","Fads1","9330182l06rik","Ccdc88c","Igf2","Ear11","Sh3rf1","Lyrm5","Mir703","Hand2","Carhsp1","Tap2","Cacna1a","Gpr165","Tgfb1","Slc38a1","Ucp2","H3f3b","Stk10"
"533","Sfxn1","Lamb2","Fam134b","Uqcrc1","Sept11","Ucp2","Pgk1","Rplp1","Fosb","Il18rap","Tspan4","Gpr126","Cmya5","Tkt","Cdh7","Stk32c","Pla2g16","Rpl13"
"534","Cd151","Plekhg1","Stk10","Fbxo31","Ehbp1l1","Pik3r3","Plch1","Ezh2","Pdia5","Rbm38","Entpd5","Igf2r","Dpy19l4","Gamt","Cntnap1","Anxa1","Nalcn","Baiap3"
"535","Adipor2","Mtrnr2l","Rplp0","Ifngr2","March1","D14ertd668e","Dusp3","Tspan32","Sgk1","Ifngr2","Igsf5","Iqgap1","Cables1","D14ertd668e","Rit2","Hes1","Rnpepl1","Fgf13"
"536","C2","Swap70","Ppap2b","Rasl10b","Arhgef6","Dock6","Stxbp4","Arhgap33","Casc4","Sytl1","Spnb3","Jag1","D830031n03rik","Ccr1","Zdbf2","Taok3","Timp2","Serpinb6b"
