"","B_cells","B_cells_pro","Basophils","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Fibroblasts","ILC","Macrophages","Mast_cells","Microglia","Monocytes","Neutrophils","NK_cells","NKT","Stem_cells","Stromal_cells","T_cells","Tgd"
"375","HDAC9","ETS1","XDH","SLC38A1","OLFR1372-PS1","PIK3CG","CKMT1","SLC25A4","RPS15","PTPRJ","RAPH1","EYA4","RGS2","FAM134B","ARL5A","HCLS1","CHEK2","PLXNB2","IGHM","TMC8"
"376","SBK1","GM9844","NAPSA","SNX9","KLF2","MCEE","H2-Q6","SNAI2","PIM2","ST3GAL5","GALC","APOE","CAMK2D","RASGRP2","EFHD2","PPM1J","SELPLG","LPP","TRAV14N-3","ANXA2"
"377","ZFP36L1","CCNB2","PAG1","FCHSD2","C5AR2","DOCK8","RAB11FIP1","PLAC8","RASAL3","DDX1","IGKV4-58","FAM134B","DPY19L1","SYCP2","CAPN2","RAB19","D17H6S56E-5","CD93","FERMT3","CD37"
"378","USP6NL","HIST1H2BF","SLFN2","DOCK11","GIMAP9","TM6SF1","IFNGR2","FLT3L","ATP5D","FUNDC2","SH2D1B1","SELENOP","PLIN2","DOCK5","CORO2A","ARHGAP45","ST8SIA4","MEF2C","SLCO3A1","DOCK8"
"379","COBLL1","SLC35E3","RAB4A","CARD11","CPQ","PSTPIP1","PLXNB2","ABCA6","VAV3","IL6RA","ANXA5","ZFP36","CEBPB","FGD3","PTPN12","GIMAP5","PBX1","ABCA9","WDR43","GRIA3"
"380","NUDT21","GM6477","CXCR4","CTSC","DLL4","HIST1H4D","MCEE","ADAMTS12","CD28","CASP1","TSPAN32","DUSP6","IRAK3","CYTH4","MALT1","2610020H08RIK","MBNL3","SERPINH1","NRP1","OSBPL3"
"381","TSR1","DOCK11","GM4759","ZMYND15","SLC39A4","EEF2K","PARD6G","NDNF","MCEE","CD80","CD44","HEXA","GCNT2","LY6I","SLC41A2","IFI27L2A","DOCK1","CYP4B1","SMS","PMEPA1"
"382","RASGEF1B","SASH3","PRKCA","H2-Q6","ANXA2","S100A10","TC2N","FGF7","SLC38A1","DSTN","BMPR1A","IKZF1","TSPAN31","OGFRL1","ARHGAP45","GBP7","CCDC88A","FABP7","SNORD35B","AGAP2"
"383","CD2AP","RACGAP1","SNTB1","TM6SF1","H2-Q7","AGO4","HNF4G","SLC36A2","RAC2","SLFN5","CRIP1","IFNGR2","PIK3CG","SNORD22","SASH3","TOP2A","TTC3","KLHL38","SP100","SMARCE1"
"384","IGHV1-63","CSF3R","LRRC8C","BCL11A","PLCB4","LYN","SEL1L3","RTN1","PRKCB","ATRNL1","OLFR918","MYO1B","HIP1","DGKG","COBLL1","NFATC2","ATP2A3","FHL2","MIR142","FERMT3"
"385","SMARCE1","GNA15","ZFP608","CCRL2","ZFP36","NFE2","DOCK7","SPIC","SLC9A9","MYO1E","ZFP36L1","LAT2","CASK","LITAF","ITIH5","SIT1","CHCHD2","RUNX1T1","FAM49A","DTL"
"386","PSD4","THEMIS2","TNFRSF26","LRRC25","NUDT4","HCLS1","MT1","MEIS1","GCNT1","CD2AP","SCD2","GEM","VAV3","ADAM19","ARHGAP30","PDE2A","HIST1H4D","APOE","SDAD1","SLC12A7"
"387","FGD2","ST8SIA4","ZEB2","ANXA2","AFAP1L1","ACTN1","LURAP1L","IGF1","MAFF","SLFN2","GATA1","GLUL","PTPN6","GM8995","RASL12","IQGAP2","SYCE2","COL6A1","LRPPRC","MCM2"
"388","TFAM","PDE2A","DOCK11","SLC25A4","CCL20","RAP1GAP2","BC051142","CILP","NA.15","STAP1","GM9835","PTPN6","SESTD1","PIK3CG","TBC1D8B","KCNAB2","GM6477","MPZ","ID2","ANP32E"
"389","LSP1","STAP1","GIMAP6","REL","POPDC2","CLEC2E","SLC25A4","PEG3","CD200R2","ST6GAL1","HES1","SERPINE1","DOCK5","ARHGAP30","LYN","HDHD5","GAS5","ENPP5","GBP9","DDX1"
"390","IFNGR2","PIK3CG","ANXA2","H2-M2","9430020K01RIK","TNIK","KLK1B16","ZFP36","DHRS3","DBI","IDS","SLC25A45","IKZF1","STAP1","PSD4","TRAF1","GIMAP1","C4B","MTSS1","PLK1"
"391","NUAK2","UBE2C","RAP1GAP2","GBP9","USHBP1","ARHGAP25","MYB","LGALS1","FXYD5","THBD","PLCB2","NAGLU","CYFIP2","ARHGAP4","F2RL2","RTP4","WDR43","OLFML3","GBP2","AR"
"392","CCR7","FOXM1","DOCK8","ANXA5","TNFRSF11A","CAMK1D","PTPN22","CCBE1","VAV1","CDKN1A","ATP2A3","ARHGAP45","PTPN22","CTSS","STK17B","TRIP4","ZFP608","CD59A","NR4A1","AB124611"
"393","GRK6","CBX5","S1PR1","SPINT2","SCARF1","SAMSN1","5330417C22RIK","IFRD1","TIAM2","KLHL6","C2","RPS6KA1","DOCK8","MOCOS","LCP2","SLC2A3","ARHGAP30","IL1B","RUNX3","KLRB1C"
"394","RGS18","NOTCH1","GM8995","PIK3CG","COL4A1","FES","CD2AP","NDUFA4","AHCYL2","TSPAN31","PTPN7","CEBPB","MINOS1","CAPNS2","PDE3B","ABCG3","RASAL3","SPRY4","HACD3","HSPD1"
"395","SASH3","ATP1A3","NAIP5","PRSS30","MFSD4A","DENND1C","UFSP1","LAMB2","SORL1","CAMK1","PDE3B","EPHX1","CMPK2","IRAK3","CD37","ARHGAP25","UCK2","HEYL","SGK3","S100A10"
"396","CTSC","DOCK8","RASGRP2","ACTN1","PLEKHO1","MIRT1","NUAK1","THBD","PSD4","TSPAN3","GAB2","KLF2","CREG1","STK17B","SLC38A1","SNORD15A","ARHGAP4","TSPAN3","CCNA2","TAGAP"
"397","LPGAT1","PLCB2","PARVG","AW112010","SOX7","NUP210","EMB","SLC7A11","PARVG","LIPO3","BMP2","JUNB","TBXAS1","PDLIM7","STK10","GEM","PSAT1","NDUFA4L2","BICDL1","TLR1"
"398","MCOLN2","IDH2","ZFP36","BCL6","CSRP1","SAMD9L","SERPINA3G","GADD45G","TIGIT","ACP2","NABP1","IRF8","BHLHE40","IFNGR2","CLEC2I","ARHGAP9","IMPA2","TM4SF1","CD2AP","ARHGAP25"
"399","CD69","EMP1","IDH1","SPRED1","AQP1","L1CAM","PTPRG","GULP1","IKZF1","ARHGAP30","ADGRG3","ELMO1","NRROS","LYN","FAM49A","GM6252","RAMP1","SLC43A3","A630033H20RIK","GEM"
"400","CAMK2D","IL10RA","MAPKAPK3","BMP2K","CDC42BPA","CAPN2","PRKCA","PTGER4","SMPDL3A","SNX24","AP2M1","CXXC5","PLEKHM3","PLAC8","MYLIP","RINL","MAGOH","ARHGEF17","RUNDC3B","ST8SIA4"
"401","RAPGEF5","TM6SF1","SFXN1","GM5431","CHP2","CNN2","GRAMD1B","CTNND1","NFKBIZ","PLA2G15","KLF6","GNGT2","ALCAM","PTPN6","PIK3CD","DGKA","MPP6","THBD","BCL9","PLEKHO1"
"402","AB124611","ADSSL1","SAMSN1","PRKCH","EXOC6","FERMT3","IGF1","RHOB","FUNDC2","GALC","CAMK2D","MVB12B","CRIP1","H2-T24","CDC14B","ATM","BHLHB9","VSNL1","TTC3","DENND1C"
"403","4930523C07RIK","CHIL1","JAK2","ARHGAP11A","KCNG3","RASSF5","CASP4","ROBO2","RHOC","EMB","ZFP36","ICOSL","EMP3","LCP1","B4GALNT1","MAP4K1","HMGN5","CDH5","ARHGAP25","TRIB2"
"404","DKC1","CCL6","ITGB3","ZFP36","FLNB","DOCK11","CCL22","FGFR1","SNORA52","MAF","RUNX3","MAN1C1","SIK1","HIST1H2BC","TRAF3IP3","PTPN7","PRRG4","FST","ACSS2","PTK2B"
"405","IL12A","LIG1","KIF21B","TSPAN13","GIMAP1","SRPK2","S100A11","SNORD16A","LYN","VWA5A","SLC2A3","SCAMP1","MIR142","CERS6","DHRS3","DOCK8","GABARAPL1","CSPG4","AGAP2","FMNL1"
"406","A630001G21RIK","NUCKS1","UCK2","PTPN6","SLC7A7","CCL3","AP2M1","DSE","NAE1","COMT","RARRES1","FAM46C","FGL2","MYO1D","DOCK8","H2-Q6","PLK1","SERPINB6B","PIK3IP1","STK10"
"407","ITGAL","KIF20A","CNN2","GM8995","CHST4","LPCAT3","AA467197","RAB7B","CARD11","RHOQ","SMARCA1","FAM71A","ITGB7","LCP2","PIK3CG","RBL2","TYMS","GPC3","TSPAN13","IL12RB2"
"408","LYNX1","SDC4","STK17B","ARHGAP25","STARD4","SLC35E3","CXCL16","AGTR1A","PRDM1","RNASEL","MCPT8","EHD4","SLC38A1","PLCG2","FLNA","DOCK11","OGFRL1","ALDH1A1","CCT8","BDH1"
"409","CARD6","DBF4","SNORA21","CD9","TMTC1","GAB2","STAT4","EPHA3","FDX1L","PRKCB","4930452B06RIK","LARGE1","SPRED1","ELOVL7","NDNF","STK10","SIRPA","GALNT16","CDCA7","IZUMO1R"
"410","RHOQ","CEP55","ANPEP","CTTNBP2NL","NDRG1","FAM120AOS","CASP1","CTSC","ATP2A3","SLC38A1","SIRPA","H2-OA","GPR183","DCK","BTBD11","PTK2B","CASP1","LY6C1","PTPN6","SLC35E3"
"411","SNX8","ARHGAP4","CD9","LRBA","CALU","ENKUR","IFI30","ITGB5","SASH3","DOCK8","PLXDC2","SYNGR1","CLN8","SAMD9L","HIVEP2","RAB37","SASH3","SLC1A5","TRAV13N-4","TIPIN"
"412","NCF4","MAP4K1","ACSS1","TAGAP","TC2N","ZFAND4","AKT3","DLC1","ENPP1","CYP4V3","VCL","SLC24A3","CD44","ABTB2","PEAK1","PIK3CD","IPO5","IFIT1","UTRN","PTPN6"
"413","ZBTB18","ST6GAL1","PAFAH2","NOP58","CCM2L","SNORA69","ECHDC1","FLRT3","IFRD1","CD300A","BACH2","LOC101056014","SASH3","CD37","CHN2","SPATA13","CYFIP2","LGALS1","CASC4","RGS1"
"414","ARHGAP45","KLRB1F","CTSG","IL21R","TGFA","RCN1","TBC1D19","GAS1","LARGE1","P2RX4","ANXA1","CD52","ARHGAP30","RAB32","CD38","HDAC2","MGST1","ADGRG6","DKC1","GBP9"
"415","CASP1","NT5DC2","PTPRC","IL2RG","FAM43A","CD33","IL23A","GPR88","PHXR4","TNFRSF1A","GRK3","FLI1","PGLYRP1","MEGF9","DOK2","MKI67","PTPN6","S100A11","PLCB2","ATP1B1"
"416","CD83","A630089N07RIK","SLC9A9","ARRDC4","RALB","ACAP1","TNIP3","INSRR","BTBD11","LGALS1","KRT4","ID2","PRKCB","TM6SF1","LRRC8C","GAB3","A430078G23RIK","MATN2","PTK2B","STIL"
"417","DGKA","FYN","IL10RA","TOP2A","NDUFA4","TESC","ARHGAP8","BTG2","DOCK8","CASK","SNAP23","CD63","H2-EB1","FMNL1","AFF3","ITGB1","TCF4","ATP2B4","ZFP36L1","PRKD2"
"418","MAN1A","DKC1","LCP1","KLF6","TMEM2","AOAH","ELF3","FCGRT","ITGB7","EHD4","ASNS","LPAR6","SNORD33","LYST","CARD11","PGLYRP1","MPEG1","LMCD1","ID3","ZFP36L1"
"419","NUCB2","IGKV4-62","IKZF1","DOCK4","PDE7B","LCP1","GALNT18","LAMA2","GM4945","DOCK11","LY6C1","ITM2C","CD177","CHST11","LPCAT4","KBTBD11","SLA","CREB3L1","NPM1","TCP1"
"420","AKAP12","PGLS","FMNL1","INPP5D","CTSH","AKNA","CCND2","VEGFD","GM9844","SLC25A24","TMEM156","FCHSD2","DOCK7","S100A11-PS","AB124611","PLCB2","GPX1","CHN1","MCM6","KIF20A"
"421","MS4A6B","GM7290","BTG2","SLC9A9","C1QL3","CYTH4","GBP4","GNG10","H60B","CRIP1","DUBR","P2RX7","UGT1A5","SATB1","ANKRD44","SMPDL3A","SNORD15A","HSPB6","MTHFD1","ATP1B3"
"422","INPP5D","INPP5D","LYN","CD24A","HSPA12B","SNORA73A","NABP1","FRZB","RNU12","PLEKHM3","CCND2","TNFRSF1A","TMEM156","SNORD33","CTSC","AHCYL2","ELANE","KCNAB1","SNORD15B","GIMAP7"
"423","CD81","RCC2","MYO1G","CD44","NPL","ARHGAP45","SLC25A35","S100A11","LSP1","RAPH1","FRMD4A","ASPH","PRCP","ARRDC4","BCL2","DSE","ETV6","IL34","ARL5C","TSPAN13"
"424","INTS7","ARHGAP32","PSD4","TSPAN31","TSPAN13","VAV3","RAC2","RNY1","MYO1G","LGALS3BP","PARVG","IVNS1ABP","DDHD1","OSGIN1","NFIL3","GRAMD1B","NUDCD2","ADGRE5","BC147527","TRIM59"
"425","PXK","CHST15","MRPL33","AHR","PLCD1","CTSG","MSLN","SYNPO2","ACOT7","NUCB2","APOE","PLCB2","TLR1","PDE7B","LSP1","EIF3A","TTC27","ENTPD1","ENTPD5","GTF2IRD1"
"426","PTK2B","GM9835","TBC1D10C","ADGRE1","APBB2","STAT4","SLC7A7","CPNE8","OPTN","ITGAX","FAM49A","FAM49B","CCL3","FOS","PEA15A","PLXNC1","CENPE","FRY","MDN1","EGR1"
"427","ZFP608","TRAF3IP3","CEACAM1","IQGAP2","GRB10","ACSS1","SLC25A13","ADGRG2","ST8SIA4","STARD8","ARHGAP25","MAF","ARHGAP4","ETS2","RAB37","RGS2","CORO2A","PPP1R14A","PPAT","NUSAP1"
"428","MIF4GD","NEDD4","LSP1","H2-Q7","ITIH5","CDC14B","KLK1B11","MYO16","HIST1H1C","PTPN6","ENPP5","HVCN1","ANXA5","RAB27A","SLC9A9","RHOF","INTS7","RHOB","LOC101056014","LCP1"
"429","RASAL3","PLK1","S100A10","SGK3","GADD45G","SAMHD1","BMP2K","PLPPR5","TGIF1","GSTM1","RNASEL","THEMIS2","CERS6","ANTXR2","KLRB1","ANXA1","PEBP1","HSPG2","PHXR4","ITIH5"
"430","ACP5","CD7","FES","CST3","RHOB","RIN3","SLC6A4","PCCB","LOC100044633","NRROS","PLEKHG1","TMEM173","VWA5A","TSPAN2","NAIP2","IKBKE","CYTH4","MSRB3","TNFRSF26","PDHA1"
"431","SLC15A4","NPM1","HIST1H2BC","LCP1","SPTBN1","ARHGAP30","FAM134B","NEO1","XRCC5","ABCG3","FAM135A","CTSB","THBS1","EVI2A","MYO1G","PLK3","ABCB1B","SNCG","DIRC2","HDAC9"
"432","DDX1","HSPD1","HCAR2","SEMA7A","CALCRL","CRIP1","S100A16","ALDH2","LCP1","1810011H11RIK","RYK","SIPA1L2","B4GALNT1","DOCK8","SLFN2","DNAJC3","ODC1","KCNE4","ESYT2","POLE"
"433","KIF21B","LSP1","P2RY2","CAMK1D","ADCY4","TES","GM10269","SNORD34","1810011H11RIK","CD209A","ANKRD28","TMEM104","SLC35E3","KLHL2","PTK2B","IGSF23","DACH1","GABRE","RALGPS2","DUSP10"
"434","ARHGAP12","NFAM1","SASH3","SBF2","TMEM88","EHD1","MAP3K15","HTRA3","CD83","RAC2","ITGA4","NAIP5","MRPL33","AI467606","DNAJB4","GNA15","TRAF3IP3","MMP3","CRIM1","FLNA"
"435","HPSE","TREML2","AI504432","SLC44A1","CAR8","LOC105246089","FNDC7","GDF10","GNGT2","CAR5B","PARVB","EXTL3","RIN2","LTB","ZFP831","ST8SIA4","DBF4","ARHGAP10","FLNA","BUB1B"
"436","NPM1","HCLS1","CNGA1","SLFN2","ART2B","TBC1D10C","CDK4","IGDCC4","SESN3","NAV1","TSPAN31","ITGA9","SH3BP2","GM9835","TNFSF12","WDR43","FADS1","COL6A2","ZC3H12D","GTF2I"
"437","TM6SF1","PDGFRB","CUEDC1","CASP1","HSPA1A","CORO2A","HTRA1","PDIA6","EMC2","TBC1D19","NEK6","MINOS1","IL2RG","GLIPR2","CDCA7L","GM6477","PTPRE","TIMP4","MALT1","CENPE"
"438","MIR142","SLC9A9","LYST","CLEC2I","IFI47","CD55","CPD","GM13181","SLC9A7","LSP1","FAM46A","P4HA1","LY6A","CHST15","PLOD2","DDX1","PSD4","MAP2","MSH2","HSPH1"
"439","CAPG","E2F8","TULP3","RASGRP1","DTX1","PIK3R5","SLC4A11","CPZ","NEDD4","ST8SIA4","NRP1","TNS3","NCF4","PHYH","SEPT11","S100A10","DOCK8","COBLL1","PDHA1","CEP97"
"440","WDR43","CHDH","BMP7","MPP6","MRC1","AGPAT5","HADH","ALDH3A1","ABHD4","PIK3CG","PSD3","ZFP36L1","CYP39A1","SMOX","BAIAP3","CHD7","EMP3","KIRREL","4930523C07RIK","1190002N15RIK"
"441","SEMA4B","IFNGR2","GM2676","5031439G07RIK","SLC10A6","GPR18","TDPX-PS1","RIPPLY3","COBLL1","DPP7","MCPT2","VWA5A","GM9835","ZFAND4","PDE7A","NPM1","UBE2C","LRRN1","SLC35E3","NPM1"
"442","LMBRD1","HDAC2","GSTP3","FERMT3","PTPRE","CAMK2D","EYA2","SEC24D","NEURL3","CD37","DSE","TMEM206","RPL7A","PARVG","ARHGAP9","LCP1","SNORD34","STAC","ADAM19","TSPAN9"
"443","EZR","SPN","RNF125","ATP2B1","SNORD55","CD300A","ENPP4","CDK14","P2RX7","TRPS1","PQLC3","ARSB","INPP5D","ZFP831","TES","FAM124B","FKBP4","PCP4L1","ADD3","GRK6"
"444","D930015E06RIK","ARHGAP25","STK10","PARVG","LTBP2","EBI3","SPOCK3","EPDR1","HVCN1","FAM46A","LIPO3","FAM212A","PDLIM1","HLX","DUSP2","TAGAP","GM6252","GPR176","AKNA","SNORD22"
"445","TTPAL","VPREB3","PQLC3","STAT4","ARHGAP31","PDZD2","CIITA","NFASC","LAX1","LPXN","S100A1","RAC2","DOCK11","CHIL5","ST8SIA4","SLC25A24","PRPS1","GM10400","GM6477","TET1"
"446","SLC25A4","CTR9","GM6166","STRBP","BTG2","PSD4","IFIT3","SMARCE1","GM2077","FER","LMNA","DPYSL2","NCF1","HSD11B1","SAMD9L","FAM78A","SERPINF1","ADCYAP1R1","CNN3","ANKRD44"
"447","IRAK3","LIFR","RHBDF2","IL6RA","MAN1A","G0S2","LAMC2","HEG1","TTC39B","GM9835","ARHGAP18","BCL2A1C","MAP4K1","SKAP2","FMNL1","ST6GAL1","GPR65","PREX2","UCK2","RNF144A"
"448","TRIB2","NEK2","CRIP1","RGL1","TM6SF1","SMIM3","ARG2","JCHAIN","CCR9","GLIPR1","IL12RB2","PRAG1","SLC12A2","TRPS1","SMARCE1","ANKRD44","TET1","CRISPLD2","BCL2","CASC4"
"449","ITGB2","CHEK1","GIMAP9","ASS1","ELMO1","SASH3","MARCKSL1","PDLIM1","DENND4A","SEPT11","FAM111A","CREG1","LNCPINT","RNASEL","RGL1","H1F0","RAB27A","LGALS3BP","LCP1","PITPNC1"
"450","SLC1A5","MCTP1","RUNX2","PLA2G7","PPP1R16B","KIF21B","LY6C1","WNT5A","MBNL3","PLCB2","TSPAN2","NFKBIA","IFI213","UNC93B1","NEDD4","MCM3","SLC35E3","APOLD1","ABCA3","DNAJC6"
"451","N4BP2","SMTN","PFKP","GM5643","ABLIM1","PMM1","PKIA","TXNDC5","CD74","CAPN2","ITGA2B","CD74","FLNA","AP1S2","ZNRF3","S100A11","RASSF4","NES","CYB5A","EXOSC9"
"452","SLC35E3","MYO5A","RNF130","NPM1","LY6C1","MVB12B","B3GALT5","HAS2","COX8A","LCP1","SLC52A3","TNFAIP3","SAMSN1","DOCK11","ACSS2","IL23R","CBX6","GATM","ZNRF1","UBE2C"
"453","FLI1","SIRPA","RNASEL","BTG2","RASSF6","ANXA1","ATRNL1","IER2","ARHGAP45","NLRC4","GNPTAB","ARHGEF40","OGFRL1","SRPK2","CCL4","EXOSC9","ELMO1","SCN3A","GTF2I","WDR76"
"454","ADAM19","ERDR1","MYC","CXX1C","C2","MAN1A","FOS","RCN1","CTLA4","ABCC3","VAV1","FAM167B","RAC2","GSAP","TAGAP","HNRNPM","STXBP4","TGFB2","MBOAT1","IGHM"
"455","CD40","IFITM2","VAV1","MSMO1","PPP1R13B","RNF24","BTG2","FKBP2","DOCK11","GM11451","SAMD9L","ASB2","PARP12","PLEKHM3","DENND4A","ZBTB7B","HN1L","PGM5","TFAM","ARHGAP10"
"456","CCND2","MAD2L1","NEURL3","SCARB1","SLFN2","FRY","CDC14B","ATP1B1","SPN","ARHGAP12","C3AR1","SSH2","PRKCD","CARHSP1","INPP5D","PITPNM2","SPC25","VSTM4","TRAV19","CD79B"
"457","HELZ2","TET1","MXD1","USP12","S100A11","ARHGAP18","PDCD1LG2","LY6I","ARHGAP4","DPYSL2","SELPLG","C5AR2","CAPN2","KLF6","IDE","HSD11B1","B4GALT6","SORT1","PRPS2","LGALS1"
"458","ARHGAP11A","GM9197","IFNGR2","ARHGAP4","ITGA6","NUAK2","RNF180","KIRREL","FAM129A","PCYOX1","OLFR916","KHDRBS3","LYL1","ARHGAP9","RASA3","6530402F18RIK","GSTM1","PPARG","ZNRF3","SMS"
"459","PRPS2","HSPA9","CCND2","HLX","PAPSS2","PECAM1","BSPRY","MRC2","PDE2A","CERS6","LNCPINT","GCNT1","5031439G07RIK","PTPRE","FLI1","GM12250","TFPI","BTBD3","ATP10A","FCHO1"
"460","GM13675","SNORA69","CMC4","ARHGAP12","DPYSL2","GPX1","EGLN3","ADAMTS2","RPL36A-PS1","DRAM1","WASHC3","DPY19L4","PTPRE","CMAH","PDCD4","SORL1","GM9835","RCAN2","EXOSC9","LYN"
"461","KLF2","KLRD1","DENND1C","FAM46C","HID1","SUOX","IFI47","SNORD55","IRF8","RNASE6","IDE","SASH3","RUBCNL","SLC25A24","SORL1","INPP5D","KIF22","MEDAG","PDCD4","MTHFD1"
"462","PRKD2","INTS7","SNORA28","GM6477","INPP5D","DMXL2","ID2","C1S2","TMEM71","ARHGAP25","IL18R1","SOX4","STK17B","BTG2","SELENON","WAS","HSD17B12","TSPAN12","PIK3CG","CDCA5"
"463","ARHGEF18","SNORA33","DOCK10","LCP2","ITGA3","LGMN","SV2B","TMED3","TRP53I11","DRAM2","CERS6","TFPI","CTSZ","CLDN1","AKNA","DKC1","HNRNPLL","EHD3","RPL37","MCTP2"
"464","CD200","PA2G4","CYTH4","TRPS1","NXN","INPP4B","ADAMTS9","UAP1L1","DENND1C","ATP2B1","AHNAK2","SLC35E3","IFIT3","SAMSN1","SIKE1","SMS","PRCP","LGI1","FXYD5","TRAF1"
"465","CHST15","BCL2","ST6GAL1","GM9844","ACER2","KLF6","PLS1","NENF","ARHGEF3","SLC16A10","GPR183","OSM","ARL5C","ALDH2","NABP1","TTC39B","NUCKS1","MID2","SPINT2","CBLB"
"466","CD93","EEF2K","DCTN6","EMB","MYADM","LOC102635566","TRP63","CRISPLD2","CD44","SLC44A1","FAM174B","SPATA13","RNF213","G0S2","OLFM1","ASS1","LSP1","ATP2A3","SAMD9L","CD8A"
"467","CYTH4","DNAH8","EYA2","ANXA1","CELSR1","INPP5D","SNORA21","SOCS3","STK17B","CDK14","SCN1B","TTC30A2","ART2A-PS","ARHGAP45","DPY19L1","PEAK1","SESTD1","SPTBN1","MAP4K2","LGALS3BP"
"468","DTX1","KNTC1","INPP5D","IDH1","HOXD10","DUBR","LCP1","TMTC2","GAB3","IFNGR2","DPH6","FMNL1","ST8SIA4","ABCA13","AGPAT3","XDH","PLPPR3","LHCGR","RPS8-PS1","S100A11"
"469","ITPR1","CDKN1A","PANK1","SLC30A4","CLIC4","DOCK5","TXN1","TNS3","HIST1H2BC","GPR137B","CSRNP1","SNORD42A","CYP4V3","ACSL1","VCL","DOCK5","BZW2","TAF9B","EZR","SSRP1"
"470","GBP9","HBB-BS","ARHGAP25","PSAP","CHRNB1","ASPA","CALCRL","HHIP","RABGAP1L","INPP5D","DDX1","SNX5","RTP4","INPP5D","D16ERTD472E","FMNL1","INPP5D","RAPH1","ELMO1","AKNA"
"471","GM9844","FMNL1","GFI1B","D17H6S56E-5","H1F0","GSAP","LMAN1","NAALADL2","AIM2","ATF3","GNG2","IGKV4-58","MAP3K15","WDFY3","MEF2C","FLI1","F2R","COLEC11","HDAC7","DKC1"
"472","ARPC5L","CKAP2L","GM2A","GM2A","GRAP","ANKRD44","PGLYRP2","PCOLCE2","GM5617","S1PR1","TMA7","KLF6","FERMT3","SLC35A5","MIR142","SNORD16A","TRF","BTG2","AI467606","S100A6"
"473","DNASE1L3","SLC25A4","H60B","PFKFB3","RHOC","SLC16A7","CES2C","SCARB2","DUSP5","IKZF1","CMC4","CASK","NFKBIZ","DENND1C","SLC14A1","KLRB1B","DEPDC1B","CAV2","IGF1R","FADS1"
"474","GM6477","NRROS","KLF6","CERS6","ABI3","IQGAP2","SLC1A3","PCDH7","GIMAP1","GRK5","ARL5B","AIM2","CDKN1A","MSMO1","ATP2B1","PTPN6","SPNS3","PRKG1","GM10269","B4GALNT1"
"475","ZFP507","TEX2","RBPMS","DOCK10","TMEM252","NBEAL2","B4GALNT1","NFIX","GM10224","AP1S2","DSTN","SAMSN1","NXPE4","DRAM1","CCDC59","AHNAK","CYTIP","VIM","RASA3","TMEM71"
"476","NEDD9","SPAG5","CARD6","DUSP16","CAPN2","MIR692-1","SORL1","UST","CCL4","SNORD33","MPPED2","MPI","GPR35","SCP2","PARVG","KLK8","HIST1H2AK","MAP1B","GM614","CTSS"
"477","H2-Q6","HIST1H1E","RPL9-PS1","IKZF1","IFRD1","FAM102A","IDE","GALNT16","IQGAP2","FRRS1","NRROS","VKORC1","ZFP36","ANKRD33B","TSPAN32","RPL36A-PS1","PRKCH","TRPV2","PPM1H","N4BP2"
"478","VARS","IGHG2B","LGALS3BP","LY9","SLFN3","OGFRL1","GM9001","MAN1A","INPP5D","CORO1A","CHST11","MFNG","LRMP","4930438A08RIK","LAT","TM6SF1","SAMSN1","IGF1","RBM38","H2-Q7"
"479","ZEB2","LYN","AMPD3","CD72","ASAH2","TRERF1","TMEM56","SPTBN1","NRIP1","CTSZ","CORO2A","NAIP6","S1PR5","EBI3","CHST11","GM7290","PGLYRP2","HAS2","INTS7","RHOF"
"480","ENPP1","RPL36A-PS1","FAM107B","EPS8","GRK5","CMAH","A730017C20RIK","WNT11","RRAS2","FOS","SEPT11","SEMA4C","EXT1","CSF2RB2","TMC8","IDE","SNORD42A","S100A6","ATIC","PDGFRB"
"481","LRPPRC","GM8292","SAMD9L","TCF4","ARHGEF15","IFNGR2","AIM1","MMD","H2-AA","HGF","S100A11","IGHM","PTK2B","IFIT3B","ZFPM1","MSH2","MYO5A","TUBB4A","BHLHB9","ZFP827"
"482","SNORD42A","RHOH","HHEX","GNG10","SLC25A4","GM5168","DDX1","VIM","SNTB1","MYO5A","BANK1","KCNJ2","TBC1D2B","TMEM40","EXOSC9","SNORD38A","PA2G4","CTNNA3","PITPNC1","GSTP3"
"483","TMEM71","LOC102637749","PNPLA7","PHACTR2","SPARCL1","PTK2B","S100A10","NXPH1","1700112E06RIK","CLOCK","HEXB","PRCP","CNR2","CPNE2","NUAK2","AGAP2","C1QBP","PIEZO2","MYBBP1A","CDCA2"
"484","NEDD4","CSF2RB","RCN1","RAC2","PARVB","RPS6KA1","NPM1","CPED1","PSMB3","ZFP991","ITM2C","CD48","LCP1","RHBDF2","NPM1","GPR155","TACC3","MICAL2","FOXP1","CTSC"
"485","TRAF3IP2","TSPAN13","EVI2A","ARHGAP45","RAET1E","LFNG","STOX2","GM8623","CHSY1","SH3BGRL","DOCK8","B3GALT5","ASAH1","TXNL4B","ERN1","CROT","KIF23","DOCK8","POLE2","PDIA6"
"486","STK10","DDX1","DGKA","RUNX3","ARHGAP25","4930523C07RIK","CTNND2","MRPS26","MRPL34","NPM1","MT1","ETS1","GM6477","ZFP36","HECA","PDK1","PARPBP","CACNB2","GM2A","INPP5D"
"487","MAN2A1","GAS2L3","NAIP2","SAMSN1","ELOVL7","MAN2B1","PCDH7","GM5177","AIM1","SLC41A2","LCP1","TSPAN13","NFE2","FAM111A","CHD7","LRPPRC","GM10288","DACT1","HSPA9","ARL4C"
