"","Adipocytes","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Eosinophils","Epithelial_cells","Erythroblasts","Erythrocytes","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","Melanocytes","MEP","Mesangial_cells","Monocytes","MSC","Myelocytes","Myocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Pericytes","Platelets","Skeletal_muscle_cells","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"605","FSTL3","APP","DDX3Y","SHCBP1","PNN","ATP6V0C","GNG11","SERINC5","BEX4","TACC1","EPB41","UBE2T","GAB1","PAK1IP1","HTR2B","RP9","HEBP2","NQO2","XAF1","DDR1","STAM","CASP1","KIAA0930","IFI16","S100A13","EXOC3L2","RAB32","CTNNAL1","P4HB","TRIP13","RAPH1","GPR65","RALGDS","NCF2","SYCE1","DUSP28","MAPRE3","VEGFA","ANXA6","TGM2"
"606","ID3","BEND5","PIGP","CENPF","GALNT6","SRM","TXNIP","RRP1B","PYCARD","CTSC","FCHO1","HNRNPC","TXNL1","LUC7L3","CREB3L1","TAF12","KLHL13","NIPSNAP1","AKR1A1","ACTN1","LINC00520","SPHK1","RBFOX2","IMPDH2","GLS","JAZF1","TACC3","RNF144A","CTNNA1","ST8SIA1","EIF1AY","COL18A1","MLLT11","ANKRD29","NCKAP5","LDOC1L","FGD5-AS1","SYT11","CCDC92","IRF2BPL"
"607","LOXL2","COX7B","MYO1E","IFIT1","RRP9","NDUFB7","TCEAL4","ANXA2P2","SNRPD1","PRDX4","IFI30","IVL","PIP4K2A","REXO2","CA12","PLAC1","MYLK","DUSP23","TRIAP1","PYCARD","PLXDC2","QDPR","NDUFB7","FOXM1","ST6GAL1","SH2B2","DENR","CLEC12B","S100A4","CTNNAL1","THSD7A","FOLR3","ASB3","TMEM167B","PMAIP1","LDHB","OSBPL6","CCDC127","PNMA1","GADD45A"
"608","CTSC","TP53INP2","GKAP1","RRAGD","THRB","WDR31","PIGP","IMPDH1","CLDN12","CD109","LINC00299","GLUL","IL34","CTSW","DDX3Y","ZFP36","MCM7","MTHFD1","FTL","FXYD6","SERINC5","PTER","PLEKHG3","NEDD4L","EFEMP2","NPC2","TSPO","UTS2R","CD82","AJUBA","ASB3","TNIP1","MYD88","STAT1","SP100","FYN","P2RX6","EML1","ATIC","TSPYL5"
"609","CTSK","RPS16","PIP5K1B","CCDC127","TUBA4B","HSBP1L1","TIMP2","MYD88","CACNA2D2","ST6GAL1","NOD2","AKR1B1","ADAMTS3","MRPL14","NAALADL2","MGAT4B","RAVER2","UQCRQ","TRIM22","HLA-J","ANXA3","NUPR1","CCL28","CASP3","FGFRL1","PLXND1","MICB","GPI","PGF","FADS1","NCAPH","USF1","FAM13B","ASPHD2","CLIC1","SIDT2","CLK3","SLC7A8","EIF1B","RGS4"
"610","NDRG1","FAM98B","SLC6A16","MYD88","HECTD3","MIR31HG","TMEM160","RGS2","ESRP2","SYNGR2","B3GNT8","CCNB2","PTGS1","MRPL35","MRGPRF","GRHL3","CHST14","DPYSL2","CYBRD1","SOX4","SLC7A5","METTL1","NUSAP1","TRIP6","VAMP8","YWHAG","SACS","PSMD14","EFEMP2","LRRC17","ACAT2","PIM3","KIF3A","CHURC1","CSF3","CREG1","SIX4","ADAM33","PFDN5","PLAGL1"
"611","CLDN11","BNIP3","OSBPL3","BANF1","LIG1","C11ORF16","C11ORF1","CCDC127","UPP1","HNRNPAB","LYST","SH3BP4","ECI2","CMTM5","TUBB2A","RASSF3","IER3IP1","CAMK2N1","ANKRD44","TUBB3","C11ORF16","SOAT1","HIST1H2BF","PSMG1","MGLL","RPF2","CENPH","OXER1","FAM49A","PRSS35","HAUS1","ZDHHC18","KIR2DS4","CD81","MAP1A","IKZF3","ICAM2","ADAMTS14","SEPT1","SLC35B3"
"612","HSP90AB1","PJA1","NEDD9","FLI1","RHD","LSM7","IER2","NINJ1","GPRC5B","ARPC1B","GDPD5","CD151","WNK1","GDF15","MIF","RSPH1","ASB3","CREG1","PFDN5","PPL","RHOV","SYNGR2","PSEN2","WEE1","MYO5B","SLC40A1","FARP1","ATP2A3","PSAT1","ACVR2B","ZNF175","CDKN2D","EID2","ZMAT3","LIFR","HIST1H4C","LMNA","RPL11","ASNS","IFI44"
"613","HP","MANSC1","SUCLG2","FARSB","TXN2","OSMR","SPRY1","CTSD","FANCL","SNORD104","CHST11","PLD3","GOLGA8A","UBE2L6","LIMA1","CD55","CD44","MRPL23","CA2","SLC16A9","H1F0","SUMO4","PON2","FUT1","PDGFRB","EPSTI1","SLC35B3","CLEC4E","CLEC11A","S100A13","BAG3","TSPAN2","IL27RA","CD44","ENC1","MAOB","SEC23A","SUCNR1","RECK","LGALS9"
"614","CKB","PALM3","NUF2","RAP2A","NOB1","PRG4","TCEAL1","MPEG1","SOWAHC","LYN","CTSD","MYH9","CALCOCO1","DCP1A","TBX18","TRIM36","IDH1","SDHD","SNRPD2","CLDN7","PLP2","EIF1AY","CD63","LSM7","CLIC1","LINC00520","GSTA4","SV2A","CACNA1H","DLL1","RILPL1","GTPBP1","AKR1B1","PDE1C","GALNT6","LINC00324","CYCS","G6PD","TRADD","EXTL2"
"615","COLEC12","ARRDC3","SLC35B3","BTG3","RUVBL2","SMOC1","TSPO","NEU1","BCL9","ABLIM3","LRP10","VEGFA","NETO2","SH3BGRL","MAN1C1","C14ORF1","SAMHD1","ACADL","NINJ2","DANCR","RPS16","TBC1D10C","HIST1H3G","TNFAIP6","UBXN1","TSC22D3","CNKSR3","TNFRSF10C","CRMP1","POLE2","TRAF5","PLB1","TCEAL3","TCF7L2","SLC6A9","NAP1L3","CLEC3B","LSM7","CCDC127","TOB1"
"616","ADAMTS2","C14ORF132","AP1G2","CENPH","KRT13","MARVELD1","FES","FMNL2","BUB1","SLC35F2","NUAK2","AHR","CDKN2C","TUBA4A","TMSB10","LSM7","HSD17B8","APOA4","JMJD1C","SIRT1","UBE2NL","AIFM2","DOCK10","EIF1B","PLXNB1","IQGAP1","KRBOX1","ALPK1","H2AFJ","IRS1","MEF2C","PNRC1","HYOU1","TYW3","PTPN14","KLF3","KLHL21","FAM69A","RRS1","SPRED3"
"617","ANXA5","STK39","LPIN1","KRT10","SRXN1","PPP1R13L","RABAC1","ST8SIA4","KCTD3","TRIM47","RXRA","PTGR1","C11ORF16","HDDC2","CKB","LRRC1","BEX4","C1ORF168","OSTC","TUSC1","HMGN3","ARPC1B","RDH11","EXO1","CMTM3","FAM78A","WWTR1","EZH2","PDGFA","BRD3","ALDH18A1","SULT1A1","SPRY2","FAM162A","ETS2","CDC7","PSMB5","INHBA","MNT","AIM1"
"618","CLIC1","GGCT","CCR6","MRPL23","NOC3L","CCND1","ACOT13","SAMHD1","IGF2BP1","RASSF2","PDE4A","PA2G4","IRF9","E2F8","KAZALD1","OR7E12P","C1QBP","DAP","S100A6","UCP2","IDE","TSPAN33","TIAM1","GUSBP5","TNFRSF1A","PDE4B","EPDR1","TMEM223","TXNIP","AKR1B1","UNC119B","PFKFB3","CRIM1","AVPR1B","LCP1","TSPAN32","SERPING1","SSFA2","RASA2","SNRPF"
"619","PLAUR","MAPT","NKRF","RGS19","S100A11","CDC42EP3","EXTL2","DAPP1","KIF2C","MID1","SRGAP3","SEPP1","OTUD3","MRPS7","SH3BGRL3","C6ORF136","TIFAB","FAM69A","CCNB1IP1","TTTY15","MORC2-AS1","BRI3","SNX25","FAM213A","EPCAM","ST3GAL5","TCF19","SEMA5B","BSG","BOD1","ZNF248","MYH9","HSPA1B","EBF3","ACO1","FGD2","CALM1","BLID","MAGEH1","OSMR"
"620","C2CD2","WDR47","RFC4","HBBP1","CETN3","DLEU1","HTR1F","JUNB","MTHFD1","LMNA","TMOD2","RBFOX2","DNAJC9","GTPBP2","C10ORF10","HOXD8","MELK","HLA-A","FAM212A","MLF1","PKD2L1","SLC28A3","LYPD1","KIF23","KDELR3","TCEAL3","FBXO5","ANKRD33B","ATP1A2","CCDC92","C16ORF45","RARA","PSMB10","APOL1","AHR","CNTRL","FILIP1L","STOM","HAPLN3","DLG5"
"621","CFLAR","LTBP3","DBF4","MZT1","ABCB6","MYLK2","FLI1","PPT1","SLC35E3","PALLD","LRWD1","SLC39A4","LIG1","AK2","ANGPT1","IAH1","NPDC1","AMT","SNCA","DDIT4","GPLD1","DUSP5","CDC42EP3","MANSC1","LRP10","RBM47","OSMR","CASP1","KDM5D","COL5A1","ESPL1","UGCG","ENOPH1","CFHR2","PLAUR","PARP12","P4HB","CTSZ","MAP3K5","SASH1"
"622","KIRREL","BEND6","IQSEC1","NCKAP1L","GCA","PAPSS1","C12ORF57","CTNS","FLT1","MYLK2","ULK1","PARP14","LRR1","DHCR24","TOP2A","ZNF136","OSTF1","FMO1","YWHAE","RPS16","IER5","SCD","TKT","TAF4B","ROMO1","LINGO3","RRAS","CHCHD4","STC1","RBM24","F2R","VASP","GAS7","HOXC4","PAG1","DGKZ","ENDOG","ROMO1","PRPF8","DEFB124"
"623","NRP2","PRDX2","KYNU","SPIN4","MICAL2","RPL11","BCAT1","TPK1","SNRPB2","BZW2","SLPI","UPP1","PAXIP1","PDHA1","PSG5","C15ORF48","FRAT1","PSMG1","NASP","NASP","PAPSS1","MT4","BSG","CAPRIN2","HUWE1","LPCAT1","TUFT1","CRELD2","PCDH18","MPPED2","COL1A2","S1PR1","XAF1","NAPB","HSP90AB1","FCRL5","HADH","SEPT7","SAMD9","PYY2"
"624","ELOVL5","ZNF415","FAM129A","ADM","CYB5A","PRTFDC1","CEBPB","RYBP","TMEM98","GBE1","RUNX1","S100A4","RNF182","LSM2","ZFP36L2","SLC30A3","NCF2","CA5A","AKAP13","ENOPH1","C20ORF203","TCEAL3","HIST1H4C","RYBP","PLXND1","MYADM","FLRT2","ALG5","TMEM182","ALDH2","DPP7","SULT1B1","SCAND1","TSPYL5","HYI","HK1","EPB41","SETD1B","LY96","SLC35E3"
"625","PARM1","ALDH2","CENPK","MGST3","C14ORF169","NRM","MYCT1","HEBP1","PIP5K1B","ASPG","PADI2","LMNB1","ANPEP","DYNC1I2","HIST1H2BE","DET1","TRIM28","MASP2","DENND3","IGFBP6","SPAG1","DUSP6","TSPAN3","TRIM28","SEMA7A","NFKBIA","MCM5","FLVCR1","MT1X","ELOVL2","CNRIP1","GADD45B","CD99","UBTD2","ELOVL2","CMTM6","PDLIM7","GSTA4","DHRS3","WNT5B"
"626","HLA-DMA","DTX3L","HCST","TREM1","SMARCA2","CYFIP1","CETN3","LACTB","SGK1","EXOC3L2","TOP3B","EPS8","TRIM28","FAM104B","MAGED1","PRTG","TSPYL4","IL13RA1","SLC38A1","CTSC","HIPK4","FKBP15","PA2G4","BZW2","SLC6A6","AKNA","KIF14","RHOG","GBP2","HELLS","ELF4","STXBP5","CLOCK","WARS","FMNL1","FGD5-AS1","EGF","MT4","HENMT1","WWTR1"
"627","SASH1","SOWAHC","TPX2","HLA-G","CTTN","ZNF469","MAGEH1","IER2","RPF2","INHBA","AHNAK","MICAL2","BTAF1","SUV39H2","ANXA5","TAF9","MAP3K8","OPTN","UBE2L6","FZD3","MPDU1","OSBPL1A","LONRF1","SDF4","LRRC17","C4ORF32","LMNB1","EME1","MRAS","SQLE","ALMS1","ATP2C2","LGALS3","TBC1D8B","VEGFC","CAPZA2","IDH2","SMAD7","CAMK2D","ABI3"
"628","COBLL1","HEPACAM","TUBA4A","GPX7","ANXA2","PKIG","ARRDC4","FLNA","BNIP3","TTC7B","PFN1","PLEK2","CTTN","ATP1B2","ADAMTS6","BCL2L12","TMEM160","PCBD1","PTCD3","BANF1","SPTSSB","TMEM38B","PFN1","ALG14","CDT1","G6PD","CYFIP1","RNASE6","PDIA4","POLR3K","DGKZ","HIST1H1E","VPS37B","UACA","BTBD11","ARMCX3","MYLK2","PLAGL1","CYBA","CD81"
"629","CST3","PSAT1","MDFIC","PAQR9","URB2","MRPS36","PRDX4","RHOC","ACTN1","CTSZ","OLIG2","TRIM8","DDIT3","ATP5G1","C9ORF16","SPATA4","FEN1","OXT","RUNX1","MAD2L2","EHF","RRAS","TPX2","CENPE","ITGB4","NFIL3","MYADM","AP5B1","HSPB8","ZC3H12C","IMPDH1","CXCL16","B3GNT2","BCAT1","TSPAN14","EIF1B","ADCY2","WDR54","RNASET2","PITPNB"
"630","LDLR","ADAM12","NLRC5","ZNF22","ACOT13","SCUBE3","MAGED1","CREBL2","BAG3","EMG1","ADARB1","CLIC1","GGCT","CCR7","CSGALNACT1","RND1","CCDC58","CCL20","CHD2","QDPR","PHGR1","ENG","RPL31","SLFN13","FBLN1","CHST7","MZT1","HSD17B11","SPATS2L","CADPS2","WAS","NUAK2","RPF2","LATS2","ANGPT1","MGAT4B","MYL12A","RRAS","ANXA5","SDF4"
"631","NDUFB7","IMMP2L","PHLPP2","TBCEL","TRIM28","SLPI","TRIM28","MOB1B","DGKZ","GULP1","ADORA3","ARHGAP5","TAF9","ARV1","HNRNPU","HMGB2","CEBPB","IGF2R","DEF6","SLC2A10","SH3GL3","CYTH4","MPDU1","C1QBP","GRB7","CD33","PFKP","SLC35A1","LMOD2","CENPM","APOO","SKIL","TRIAP1","AHR","CERCAM","CDKN1B","KPNA4","GNAI3","METTL5","ATP5J"
"632","TIMP2","SETD1B","GVINP1","H1FX","CREG1","CRIM1","CDCA5","OGFRL1","CENPM","NDC80","ST3GAL1","HIST1H2BG","UBE2H","TREX1","NEXN","PRR16","CRELD2","PI4K2B","GTF2A2","HIST1H4C","SUZ12","SFXN3","OLFM1","MIF","KIF12","NLRC5","HELLS","IL17RA","HNMT","GTF2IRD1","PPP1R26","HIST1H3B","ABI3","CREG1","TBX20","NMT2","UBE2D4","TINAGL1","HSD17B11","ARRDC4"
"633","C19ORF12","IER3IP1","CCL4","TMEM14A","MAP3K5","SLC38A4","PLEKHO1","BCAR3","FANCI","CD99","H3F3B","HNRNPH1","BNIP3L","HADH","TSC22D3","HSP90AB1","MXD1","INSIG1","TUBB6","ZWILCH","HSP90AB1","FAR2","SEPT4","RARRES3","MT2A","CXXC5","KRAS","ZC3H4","NEXN","DLX2","RPF2","LPCAT2","COTL1","RAB23","TRIOBP","ATP5J","ASB12","CENPW","RAB27A","MIR205HG"
"634","CLSTN2","C2ORF40","PRDX1","LRRN3","TRIM59","HHIPL2","UBTD2","SPR","COQ3","DEFB124","CTAGE5","KLHL5","EMID1","HLA-DRB1","NFIX","SCGB3A2","TSC22D3","AQP11","SNRPC","CENPE","TMIGD2","RAB38","FGFR1","TNFRSF25","RAC2","HLA-F-AS1","SMAGP","DHCR7","PLD3","SNAI2","GNPNAT1","SP110","ZNF292","TJP1","ASS1","BEX4","GAPDH","GK","RBMXL1","NAP1L3"
"635","SOD2","KIF1A","SS18L2","LSM7","TXNL1","SDC4","ZMIZ1","CCDC92","RPS16","MTHFD1L","DUSP6","TAPBP","NME1","POLE2","TMEM98","DZIP1","TRIAP1","PDIA5","SPP1","P4HA2","MBOAT2","FABP3","NRSN2","SLC12A7","SCNN1A","RAB34","IER2","HSD17B8","NEK10","NDUFA3","ITGB3BP","MAFF","TARDBP","TBK1","PKD1","IFNAR2","RERE","ARPC1B","STMN3","PTPN13"
"636","NFIA","PCBP4","TTC27","VRK1","ATP5J","ANXA5","SCAND1","BTG3","SEMA5B","ZEB1","PPP1R16B","ADAM8","TSPAN17","ACYP1","HIST1H4C","BCL10","HVCN1","TUBA4A","TIMM9","NCAPH","SP2","PSTPIP2","TMSB10","CNKSR3","SMOX","FNBP1","MTHFD2","COL9A2","PPIB","NME1","CEBPZ","HSPA1B","FAM46A","MRC2","SLC14A1","PPA1","FKBP8","ENPP2","DDX3Y","CNTFR"
"637","LGMN","PTPN13","TRIAP1","KIF2C","HIST1H3B","PLAU","RPS4Y1","SDF4","PUS7","SFXN3","ZBP1","LLGL2","SNRNP200","BLM","IMPDH1","HSPA1A","KDELC1","UBR3","C9ORF72","HNRNPAB","TMEM126A","BANF1","MELK","GATSL2","PLD3","IMPA2","GAS2L3","SVIL","TCEAL8","FAM162A","NRN1","MDM2","KLF10","TXNRD1","SYNPO2","CHCHD4","OTUD4","GLIS2","ACAP1","PTGES"
"638","TPSAB1","PDE4B","AGL","ARHGAP9","NET1","C17ORF97","NKAIN2","ACOT13","RCC2","UBE2T","GPR35","HSP90AB1","UHMK1","MYL12A","C4ORF48","SLC25A14","C10ORF54","DDC","RPL11","FBXO30","SRXN1","RP9P","SEMA6D","IRX1","TNFRSF18","ICAM2","PAFAH1B3","TMEM216","APOBEC2","LIMCH1","SLC35E2","MMP8","PARP15","MGST1","DCHS1","BTAF1","MSS51","TPX2","TMEM154","NDUFB7"
"639","BSG","CGNL1","METTL18","PECAM1","SFXN4","CCDC60","PRKCZ","PON2","MPDZ","GINS2","NOTCH1","MMP1","FAM13A","ACAT1","RBP1","ZDHHC7","MRPL15","MGST2","HIST1H4C","SHROOM3","EPN3","MAN1A1","ASB9","MAFF","TRHDE","ENTPD1","S100A10","B3GNT5","GFPT2","SETBP1","TPSAB1","RAB20","PARP12","OXER1","TNFRSF1B","CDKL1","NDUFB10","RPS27A","ZC3HAV1","NTM"
"640","CMKLR1","APOO","PTER","KPNA2","IGFBP4","GDF5","SMAD1","ATP6AP1","ALYREF","CTSB","LYL1","PLAUR","C7ORF73","CHAC1","ARID5B","ITGAE","GMNN","SPRYD4","GNAI1","RAB15","PAQR6","SH3BGRL","NCAPG","PRDX4","NIPSNAP1","ACTN1","SCRN1","CXCR1","PDGFRB","SETD1B","SPTAN1","SH2B2","SAP25","SHQ1","PPIB","NUDT9","SEMA4D","TCEAL3","JUN","KDELC1"
"641","IMPDH1","RNF182","UTS2R","MEF2C","NCAPD2","METRNL","TTC7B","MFSD12","EDNRB","TUBA1A","ACOT11","MGST1","SGK1","MAT2A","ATP8B2","BBS9","UBTD2","PFN1","LSM2","LSM7","SETD1B","RFTN1","TROAP","CETN3","LMO7","IRF7","FILIP1L","GTSF1","SLC40A1","FANCI","MRPL47","PLEKHG3","LDHB","RPS16","LAPTM4B","CRLF3","SH2B2","DYNLT3","TIFA","GPX7"
"642","PYGL","CAMK2D","SEC11C","RRM1","PKP4","HAS2","CD44","APOO","LCP1","UPP1","EEF2K","PON2","GOT2","NUP37","EXT1","BATF2","ACTN1","GLYAT","RIPK2","MME","HOOK1","BHLHE41","UBE2C","MRPL15","TRIM28","FAM101B","FKBP3","BRI3","C1ORF198","IDH1","AP1S2","CTSZ","SYT11","LNX1","EDEM1","RALGAPA1","SLC25A23","IGF2BP3","CRYZ","H1F0"
"643","PLEC","CCDC92","IRF2","C15ORF61","NCAPD3","NDUFS6","COX7B","CYB5R4","COTL1","SHROOM2","KIAA0513","BSG","SMNDC1","LTV1","SQLE","CCNYL1","AHCY","HMGCS2","CASP2","BAG3","LRRC43","KCNJ2","TRIM22","TPSAB1","SLC4A2","IGFBP7","NDUFS6","EMB","NDUFB7","POU3F2","FEN1","CPQ","SPTY2D1","NGF","WIPI1","RPA1","MYBPH","RIPK4","LDLRAP1","BOLA3"
"644","SCARA5","GYG2","RPIA","TLR4","RANBP10","PIGP","LTBP1","TTYH3","BOD1","SPATA24","RBM39","MGAT4B","CXCR1","BUB1B","PAM","CEP76","FAR2","LSM7","CDK1","SKA1","ORMDL2","MIR22HG","SDC2","SUCLG2","ATP10A","ARPC1B","TXNL1","ENOPH1","FSTL3","ST6GALNAC5","RGL1","IQSEC1","TIGIT","IL20RB","IFNE","STON2","ATP8A1","EPAS1","NSUN6","MFGE8"
"645","LMOD1","KAT2B","STK39","CMTM7","ZNF850","ZMIZ1","PNMA1","NAGPA","HMGB3","CDKN3","KDM5D","TNS3","IFIT3","SLC2A4","PRR11","NEK1","MRPL24","KPNA2","FAH","EMG1","UBE4A","OSTF1","SH3TC2","AURKA","TEAD4","P2RX4","CDKN1A","MRPL1","ITGAV","NEUROD1","FKBP1B","DAPK2","SNRPB2","BAG3","PDE4B","SAT1","CD55","PLSCR4","PTER","SPATA21"
"646","NPY1R","FAM46B","PPTC7","HLTF","ABL1","SPDEF","PRSS21","PLEKHO2","RFC4","CHCHD10","YTHDC1","CBR1","FKBPL","ITGB3BP","CDC20","EBP","RGS10","EMP2","CDADC1","HNRNPCL1","IER3IP1","PGD","CENPM","CBLL1","WT1","PSMB10","CTSK","INPP5D","DCLK1","MALAT1","SH3BGRL2","TRIM25","CDKN1B","PKD2","CDC42EP3","EXOC3L2","RTN2","ARHGAP21","ZNF266","SH3BP5"
"647","APOL3","SCN4B","ACBD6","ABCA1","RFC3","CNTD2","FAM107B","SOWAHC","KDR","MESDC1","C5AR1","DUOX1","PLEKHN1","FAM162A","LY6E","MORC2-AS1","CSGALNACT1","GNE","TEC","ACBD6","RHOD","ASAP1","FAM64A","GAL","LSM7","SLC2A3","SYAP1","MRPL36","AP1S1","CCNB1IP1","MND1","CYP1B1","PNO1","MID1","SPHK1","ANP32B","SMOC2","CLIC1","CCDC60","CPQ"
"648","C1ORF115","SSPN","MAGEH1","CD74","KIF20B","UBTD2","FUT4","STAT5A","LSM7","PITPNB","HNRNPU","LSM7","RBX1","HDC","PYCARD","BRPF1","ZNF593","IGF1","CCT3","KIF5C","VMP1","DHRS3","ROBO1","LLPH","ACOT7","NINJ1","PTGES3","MELK","CDC42EP3","GALNT12","SUPT16H","ORM2","RPL11","SYT11","ANXA5","FAM177A1","DNAJB5","SCRN1","CLK1","PGM1"
"649","LRRN4CL","UBL3","IL2RB","OXER1","CALR","HPRT1","MRPL24","ABCC3","DHX33","TRIP6","MBD5","PTPN13","PCNA","TESC","TSPAN5","UCP2","GALNT7","RPS16","MFAP2","NME1","CRIPAK","SLC35E3","MBNL1","MYL4","GRN","PTGER4","FMN2","PSMG1","PDE10A","PAM","NCAPG2","PFN1","SETD6","CDC42EP3","CCDC36","SRSF8","GAS6","AADAC","SFXN3","RBMY3AP"
"650","PIEZO1","ZHX2","SLC2A5","E2F8","PIM2","MORC2-AS1","SOCS2","MSC","FAM184A","SLC29A1","FHL3","SLC7A5","TMBIM1","CD70","HAND2","COPS8","TCEAL4","SERINC5","ST3GAL1","NDUFA3","NQO1","SELPLG","IFIT5","CCDC127","MGAT4B","SH3BGRL","DPYSL3","ACOT13","AKR1C2","BTBD3","SOX9","GYG1","UBA2","HEY2","PDCD1LG2","TCEAL4","TULP4","PDZRN3","ZNF507","KDM5D"
"651","RAB31","TAP1","NDUFB3","CCT8","BZW2","RANBP3L","ABHD14A","PIGP","MARC1","SLFN12","SLC4A8","IST1","NAPEPLD","PPIP5K2","SOX9","CPEB1","MICB","TTC36","HIST1H3D","CCL26","PNP","FCN1","PPA1","CRTC3","PFN2","WARS","RIN2","MRPL47","SMARCA1","ANKRD6","SETD6","HNRNPU","UBE2M","CYFIP1","SLC2A1","TUBB6","LGI4","SPATA24","ELMO1","MAFF"
"652","TSPAN3","WASF1","ARAP2","DYRK3","PDLIM1","LINC00116","GMNN","EPS8","ZWILCH","MGAT4B","SUN2","ARMCX2","SDHD","CASP6","DMKN","FGF9","INPP5D","F7","TET2","ZNF253","DEGS1","IL6R","ADCY1","RPF2","MEX3A","APP","TRIP4","SH3BGRL3","PFN1","RBPMS2","CYSTM1","FKBP8","SERPINB1","SCRN1","RAB6A","TNFAIP8L1","QKI","TNFRSF10D","STK10","LILRA4"
"653","HIST1H4C","SDK1","ENTPD1","PTER","HBS1L","BTBD11","ETS2","PNRC1","CTBP2","ANXA6","RNASE3","FOSL1","STAM","RCL1","IL33","CLSTN1","RFTN1","BAG2","EWSR1","ITGAV","OR7E12P","RHBDF2","PARP12","GEMIN5","CKAP4","CMTM6","CLGN","ELF4","SEPT4","ECT2","QDPR","ZDHHC19","TBPL1","TMEM140","SCRN1","PLEKHN1","SIX1","CACNA1H","TRAPPC2","SLC9A1"
"654","ACO1","TOP2A","HPRT1","TBC1D10C","HPDL","MICA","TPBG","SH3BGRL","COL18A1","IMPDH1","SEMA4A","MCC","GTPBP2","SLFN13","C6","MLF1","SLC31A2","CYP4A11","MINOS1","CLU","RDH16","SNORA61","FBXO32","CDC42BPA","EIF4EBP1","RGS1","MORC4","PLAGL1","PCBP4","SORCS1","RRAS2","ABTB1","ADD3","PCK2","SEMA5A","GAB3","CD300LG","CAMK2D","FXYD5","SLPI"
"655","TNFRSF1A","PTTG1","MYO1C","BSG","CXCR1","PGM1","UCHL1","UBTD2","MIAT","NDUFB3","TFEB","AP1S1","DBF4","CAPZA2","FAM46B","NCOA6","KIF20A","FAH","SERPINI1","MOB3B","DBI","WIPI1","MAGI2-AS3","CDCA4","BCAT1","AKR1B1","SLC35E3","PRG3","KAZALD1","ANXA3","CTBP2","NOTCH1","TMEM181","PRSS35","KBTBD8","ABI2","HSDL2","P2RX1","SPRR4","TXNL1"
"656","CDH5","TOM1L1","GLO1","FCER1A","TRIAP1","TCEAL8","SSBP2","HLA-C","WEE1","TRIAP1","HIST1H2AE","CSRP2","LILRA4","APOO","TCEAL7","SHD","ISYNA1","MAN1A1","FAM26F","ZNF521","ELOVL1","DNASE2B","SETDB2","CHPT1","RRM2","PHF11","MFAP4","TCEAL4","C1ORF105","RBFOX2","LPCAT1","RAB8B","BMS1","SERPINB2","PFN1","C4ORF3","PARD3","ANXA4","SRSF8","FAM101B"
"657","PPA1","SERINC5","SNRNP70","TMEM55A","ALG14","AHR","SP2","SIGLEC10","ZNF788","DNAJC30","ATN1","HAND1","THRB","TRMT5","SOD2","CXCR1","H1F0","STEAP1","PNP","RPF2","RPL13A","JAKMIP2","WFDC1","RHOBTB3","GPC6","FAM129A","PHGDH","MZT1","MYOD1","TMEM14A","MORC2-AS1","LINC00282","MAP2K1","LGALS1","VDR","DUSP22","PDGFRB","DIO2","DNAJB14","MICA"
"658","TNKS1BP1","NME1","CRELD2","NDUFB7","EXTL2","CDK2AP1","MN1","ITPRIPL2","CDH1","RFTN1","RNF213","CASP1","AGPAT1","SARS","PROS1","FLVCR2","PPA1","FGD5-AS1","TPSAB1","RAB20","KRT77","GPR84","HLA-F-AS1","CDCA8","HNRNPC","PLD3","RBM24","TNFAIP6","TMEM200A","RAB31","NSUN6","EHBP1L1","MT4","HK2","IFITM1","IFITM1","SLC40A1","PDLIM3","BATF","RARRES2"
"659","TPM1","GCA","RNGTT","ACSL1","HPGD","DEFB124","BOLA3","HEXB","DSCC1","PIEZO1","SNORD8","ALS2CL","COMMD3","SRP14","AK4","MAP4K3","MIF4GD","SIGIRR","RAP2B","ASAP2","P4HB","ITGA6","FOXM1","ITGAM","OBSL1","FRAT1","GALNT10","FAM78A","AHRR","GNG4","RPL27A","GABARAPL1","RCN2","ANKRD6","BSG","SLTM","GYG1","HR","FGD3","S1PR4"
"660","TSPAN7","MYOF","BMPR1A","MSH2","COASY","KIAA0226L","PCDH9","MYO1G","GRHL2","TXNL1","LENG8","GPD2","REEP4","PPA1","ANXA11","SPATA16","NCAPG","ACYP2","TXN","DGKZ","SERINC2","JUN","NRCAM","PDCD2L","PROCR","TRIAP1","AK5","PPFIA4","AIG1","BLM","TAGLN3","UHRF1BP1L","CENPK","RRAD","SUN1","IL34","LIN7B","UQCRB","GNG2","GNAI3"
"661","PGRMC1","IGLON5","ATP5J","CD247","DGKZ","ACTN1","RNF125","SOAT1","PAPSS2","RGS5","TP53I13","SP100","TERF2IP","OSTC","LTBP4","CTU2","ASB9","CYP27A1","MYH10","INO80C","SH3BGRL2","PEPD","PRDX4","LRMP","ANPEP","SGSH","HHIP","GLRX5","COL25A1","C5ORF30","ITGAV","SLC31A2","SNHG6","CBX7","ZBTB38","NLK","USF2","COL4A6","MAD2L1","C2ORF82"
